what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307823883080
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307823981753
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1307823982927
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1307823982932
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307823984751
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307823986211
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1307823988276
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1307823993554
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1307823994422
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1307823997285
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1307823998948
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1307823999135
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1307823999324
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1307824005716
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307824006752
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824007030
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824009177
closed,editor,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1307824009326
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824010450
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824012131
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824013325
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824015304
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824015843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824018132
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1307824021531
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307824022095
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824022972
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824023491
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1307824024776
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307824025038
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824026408
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824028429
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824033387
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824041439
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1307824044411
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1307824047899
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1307824049436
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1307824053879
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1307824054887
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307824059278
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1307824072517
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824075268
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1307824080107
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824080167
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307824080821
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307824082412
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307824089042
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307824097657
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307824100684
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824101030
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824105755
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1307824106867
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1307824107335
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1307824107721
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1307824108068
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1307824108326
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1307824108713
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307824109820
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307824112113
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307824119912
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1307824127217
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824128243
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824136460
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1307824137276
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1307824137878
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1307824138332
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824138482
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1307824138626
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824140521
activated,perspective,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugPerspective",1307824140612
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307824144598
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1307824145007
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1307824146369
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1307824146431
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1307824148379
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1307824149137
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1307824149552
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1307824150227
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1307824152117
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307824159016
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307824160970
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1307824162401
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824173031
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1307824173564
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1307824173668
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1307824173673
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307824175523
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1307824175523
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824179374
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824249830
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307824252290
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307824281323
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824286946
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824292801
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307824296250
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307824303935
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824308501
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824377958
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824384878
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824387557
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824387904
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1307824421445
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824421527
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1307824424803
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1307824425653
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824426824
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824427636
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824437043
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1307824449601
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824449663
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1307824450335
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1307824455183
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824458743
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1307824489188
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824489282
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824499624
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824507747
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307824507969
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307824508044
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1307824509315
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824513991
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824517616
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307824517792
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307824517849
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1307824545771
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824553193
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824556282
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824559529
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824561238
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824561359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307824561551
