what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308324452614
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308324452869
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1308324459842
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1308324480032
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324485831
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324486010
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324489329
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1308324489522
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324495213
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324495345
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324497768
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1308324497923
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1308324504449
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1308324504555
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1308324522073
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308324524727
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1308324525534
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324536893
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324830111
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308324831137
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324836732
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324836805
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324839337
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1308324839396
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324843785
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324843863
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324858295
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1308324858347
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324862329
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324862433
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1308324872174
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324874436
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1308324874495
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324877362
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324877414
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324891981
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1308324892029
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324895042
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308324912323
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308324912829
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308324912989
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1308324918494
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1308324928624
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1308324959882
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308324997520
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308324998499
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308324998590
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1308324998600
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308325015254
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308325016528
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308325016806
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1308325021289
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1308325022264
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308325035105
