what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307968529781
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1307968530804
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307968554545
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1307968556481
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307968562720
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307968564973
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307968576325
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307968589465
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307968596490
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307968597345
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307968598383
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307968599721
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307968600498
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307968603087
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307968605180
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1307968606190
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1307968606790
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307968638824
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1307968641227
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307968641273
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307968648992
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307968657332
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1307968661169
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.eof",1307968661908
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307968663930
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1307968715923
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307968734411
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307968753643
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1307968755560
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307968756266
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307968759620
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307968760978
